
2025/04/08 (23:21:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:04) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:08) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:22:18) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 

2025/04/19 (10:15:25) | ===> btop++ v.1.4.0
2025/04/19 (10:15:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/19 (10:15:25) | WARNING: ROCm SMI: Failed to get PCIe throughput
